abatatar,abejorro,abellacar,abibollo,abobar,abracadabra,abreboca,abrutado,abuelazón,aburrado,acabose,acebollado,acechón,achaplinarse,achechar,achicharradero,achichincle,achuchón,acmé,acojonar,acurrucarse,alocar,altanero,altibajo,alunado,alzapié,alzapuertas,amelenado,amilanado,amolado,amoscar,amuchar,amuermar,anaquel,anchicorto,andanada,andarivel,angelón,animálculo,anteojo,asocairarse,asomada,asonada,asperete,asperón,atiborrar,atildado,atizacandiles,atolondrado,atorar,atronar,atufar,aturullar,aúpa,autobombo,averso,avispado,azotaina,azotón,azuzar
Balón,Barnizar,Banal,Bandido,Bastar,Bastardo,Barajas,Bastardear,Belicoso,Barba,Batallar,Bello,Barcaza,Beber,Bestial,Biblia,Besar,Bidimensional,Biografía,Bifurcar,Bifaz,Biología,Blanquear,Blanco,Bogotá,Blindar,Blando,Bonete,Bombardear,Bondadoso,Bota,Bostezar,Bonito,Botella,Bramar,Brillante,Brasil,Brindar,Brutal,Brisa,Burbujear,Bruto,Buñuelo,Buscar,Bueno,baño,bacteria, bailarín,ballena,ballet,barómetro,barrera,basílica,basura,baya,bailarina,buscador,bilateral,bronceado,bronce
camina,come,combina,calcular,con,cumbia,claro,chimenea,cáncer,chatear,chat,chapulín,cacao,cabía,cabré,cabrá,cable,cabra,cacen,cabina,cabeza,cabaña,calabaza,cacique,cachos,cuchillo,cazar,cabalga,cachetes,cantina,color,cima,correr,camarón,carro,continente,calor,cortina,cobija,camaleón,contra,cordón,costo,cas,colón,colones,cartón,campeón,cuál,cuántos,cuánto,cualquiera,compra,costilla,cuáles,cobro,culebra,camión,cueva,caricatura
daga,dama,danza,dañino,dardos,dato,debate,decena,decir,decente,domingo,decisión,declarar,decorar,decretar,dedicar,dedo,degradar,delgado,dinero,dureza,durazno,duración,dormir,donde,de,dar,Diana,dilema,difícil,dieta,dicha,diametro,diferencia,diferenciar,diagnóstico,dignidad,delantal,delicia,dominó,dioses,dios,discreción,disentir,disminuir,disparo,doble,doctor,documento,dócil,dos,dueño,dormido,duradero,democracia,demócrata,dictadura,deriva,dado,dedal
email,echar,ecléctico,ecosistema,edema,enfermo,enhebrar,edificio,educación,efectivo,enigma,eficacia,eficaz,eficiencia,eficiente,egoísta,ejército,eje,ejemplo,ejercer,elecciones,elector,electricidad,electroencefalograma,elefante,elegir,elfo,embajador,embalar,embarazada,embarazo,embarazoso,embelesado,emblemático,embustero,emergencia,emigrante,emisor,emisora,emoción,emocional,empanar,emparedado,emparedar,empatía,empleabilidad,empleo,empoderamiento,emprender,empresa,empresario,enamorado,enólogo,encéfalo,encefalograma,encontrar,encuesta,enfadar,enfado,enfermedad
faba,fabada,fabricar,fabuloso,facha,fachada,facial,facilon,facilona,facineroso,facinerosa,factible,fernando,fernanda,factor,factoria,factura,fajo,fake,falacia,falaz,falible,familia,familiarizar,fantastico,fardo,farero,faro,fastidiar,fatiga,fatuo,fatua,fauna,favorecer,fábrica,fábula,fácil,fácilmente,fáctico,física,físico,fósil,fútbol,febril,fecha,federación,felicidad,feliz,feminismo,fenómeno,feria,fetiche,ficción,fiebre,fiero,fiesta,finalidad,filibustero,fiscal,fisioterapia
gordo,griffindor,griselda,granja,garrote,guardar,gemas,gemido,gato,goma,gris,gasto,gigante,gozar,grande,gastrico,gana,ganadero,ganado,galactico,ganzo,garabatear,garabato,garaje,garantia,gas,gasa,gaseosa,gasista,gasolinera,gabardina,gacela,gaita,gaitero,gaje,gajo,gala,galan,galanteria,galardon,gama,gamarra,gambas,gatear,gatillo,gatopardo,gaucho,gaveta,gavilan,gay,gaza,gazpacho,gramafogo,grapa,gramatica,gramaje,grama,gragea,grafologia,gorro
Habano,Halcón,Hexágono,Huerta,Hidrografía,Habichuela,Habil,Huella,Hipérbole,Habilidad,Hablar,Heterogéneo,Homofobia,Heterosexual,Horrible,Hartar,Horror,Hacer,Hostil,Hospital,Hacienda,Hawai,Hospedaje,Hacha,Hueco,Hallar,Huelga,Hazaña,Hormiga,Hundir,Hondo,Hacinamiento,Huérfano,Hacker,Hebilla,Huir,Halo,Hemoglobina,Hamaca,Haití,Hepático,Huésped,Halagar,Hepatitis,Horno,Haber,Hallazgo,Heterodoxo,Hipodermis,Hastío,Hacendado,Hospedar,Haya,Hache,Hazmerreír,Helio,Hielo,Habitación,Hábito,Hada
iba,ido,idea,investigar,inteligencia,imprimir,ira,irse,idioma,isla,ilegal,ileso,iman,igual,ignorar,ideal,imaginar,ilogico,imagenes,imitar,ilicito,ilusion,ilegible,iconico,ilustrado,iluminar,ilimitado,irlandes,ingles,impermeable,iguana,invierno,incinerar,inmaculado,infantil,inestable,incendio,intrepido,iracundo,ideologia,iluminado,icono,iran,iluso,impreso,idealizar,iglesia,igualado,ignorado,informacion,informatica,infame,infestado,inmoral,ilusorio,iluminacion,inicio,identificar,impersonal,impropio
jabalí,jabón,jacarandá,jactar,jacuzzi,jade,jadear,jaguar,jalar,jalea,jaleo,jalón,jalonar,jamás,jamón,japonés,jaque,jaquear,jaqueca,jarabe,jarana,jardín,jardinero,jarra,jaula,jean,jefatura,jefe,jerarcas,jerarquía,jerigonza,jeringa,jersey,jesuita,jet,jeta,jíbaro,jícama,jilguero,jinete,jinetear,jirafa,jirón,jockey,jocoso,joda,joder,jojoba,jolgorio,jónico,jonio,jonjolí,jopo,jornada,jornal,joroba,jorobar,jota,jóven,jovial
koala,kiwi,karma,karaoke,kilo,kiosco,kilogramo,kilometro,kinder,karate,karateca,kayak,kimono,ketchup,kit,Kilovatios,Karatecas,krill,Kilobytes,Kriptón,Keratina,Kudu,Kiko,Kevin,Kaki,Kenia,Kosovo,Kuwait,Karen,Katia,Kendall,Kylie,kinesiólogo,Kaos,Kawasaki,Kimberly,Kaviar,Kimchi,kia,kappa,Kaguang,Keylor,kamikaze,katar,kernel,kilometraje,Kendo,kinito,kelvin,Kerigma,Keniano,Kurdo,Kosher,kabuki,Kenneth,Kira,Kendra,Kassandra,kahlua,kalamari
